ID_Cliente,Evasion,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Servicio_Telefono,Multiples_Lineas,Tipo_Internet,Seguridad_Online,Backup_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Tipo_Contrato,Factura_Digital,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias,Evasion_Binaria
0206-OYVOC,No,Femenino,0,Sí,Sí,46,Sí,No,Sin internet,,,,,,,Two year,Sí,Mailed check,19.25,864.2,0.64,0.0
0206-TBWLC,No,Femenino,0,Sí,No,54,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,One year,Sí,Mailed check,114.65,6049.5,3.82,0.0
0207-MDKNV,Sí,Femenino,0,No,No,15,Sí,No,Fiber optic,Sí,No,Sí,Sí,Sí,Sí,Month-to-month,No,Electronic check,105.1,1582.75,3.5,1.0
0208-BPQEJ,No,Femenino,0,Sí,Sí,12,Sí,No,Sin internet,,,,,,,Month-to-month,No,Bank transfer (automatic),19.4,198.1,0.65,0.0
0212-ISBBF,No,Femenino,0,No,No,22,No,Sin servicio telefónico,DSL,No,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,50.35,1098.85,1.68,0.0
0214-JHPFW,No,Femenino,0,Sí,No,70,No,Sin servicio telefónico,DSL,No,Sí,Sí,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),57.8,4039.3,1.93,0.0
0215-BQKGS,No,Masculino,0,No,No,30,Sí,No,Fiber optic,Sí,Sí,Sí,No,No,No,Month-to-month,Sí,Credit card (automatic),84.3,2438.6,2.81,0.0
0218-QNVAS,No,Masculino,0,Sí,Sí,71,Sí,Sí,Fiber optic,No,Sí,No,No,Sí,Sí,One year,No,Bank transfer (automatic),100.55,7113.75,3.35,0.0
0219-QAERP,No,Masculino,0,Sí,No,30,Sí,No,Sin internet,,,,,,,One year,No,Credit card (automatic),19.8,576.65,0.66,0.0
0219-YTZUE,Sí,Masculino,0,Sí,Sí,4,Sí,Sí,Fiber optic,No,Sí,Sí,No,No,No,Month-to-month,Sí,Bank transfer (automatic),84.8,371.9,2.83,1.0
0220-EBGCE,Sí,Masculino,0,No,No,2,Sí,No,Fiber optic,No,No,Sí,No,No,Sí,Month-to-month,Sí,Electronic check,85.85,167.3,2.86,1.0
0221-NAUXK,No,Masculino,0,No,Sí,10,Sí,No,Sin internet,,,,,,,One year,Sí,Bank transfer (automatic),19.95,219.5,0.66,0.0
0221-WMXNQ,No,Masculino,1,No,No,4,Sí,No,Fiber optic,Sí,No,No,No,No,No,Month-to-month,No,Electronic check,75.35,273.4,2.51,0.0
0222-CNVPT,No,Masculino,1,No,No,52,No,Sin servicio telefónico,DSL,Sí,No,No,No,Sí,Sí,Month-to-month,Sí,Credit card (automatic),48.8,2555.05,1.63,0.0
0224-HJAPT,Sí,Masculino,0,No,No,5,Sí,Sí,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,1.57,1.0
0224-NIJLP,No,Masculino,0,Sí,Sí,8,Sí,No,Sin internet,,,,,,,Two year,No,Mailed check,20.15,165.5,0.67,0.0
0224-RLWWD,No,Femenino,1,No,No,2,Sí,No,DSL,No,No,No,No,No,No,Month-to-month,Sí,Electronic check,44.3,89.3,1.48,0.0
0225-ZORZP,No,Masculino,0,No,No,3,Sí,No,Fiber optic,No,Sí,No,No,No,Sí,Month-to-month,No,Electronic check,84.3,235.05,2.81,0.0
0228-MAUWC,No,Masculino,0,No,No,19,Sí,Sí,DSL,No,No,Sí,Sí,No,No,Month-to-month,No,Electronic check,59.55,1144.6,1.98,0.0
0229-LFJAF,No,Masculino,0,No,No,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,No,No,Two year,No,Bank transfer (automatic),69.65,4908.25,2.32,0.0
0230-UBYPQ,No,Masculino,1,Sí,No,63,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No,One year,No,Bank transfer (automatic),36.1,2298.9,1.2,0.0
0230-WEQUW,No,Masculino,0,Sí,No,66,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,Sí,No,Two year,Sí,Bank transfer (automatic),56.6,3789.2,1.89,0.0
0231-LXVAP,Sí,Masculino,0,No,No,1,Sí,No,Fiber optic,No,No,No,Sí,No,No,Month-to-month,Sí,Electronic check,75.9,75.9,2.53,1.0
0233-FTHAV,No,Femenino,0,No,No,60,Sí,Sí,Fiber optic,No,No,Sí,No,No,No,One year,Sí,Bank transfer (automatic),79.2,4765.0,2.64,0.0
0234-TEVTT,No,Femenino,0,Sí,Sí,48,No,Sin servicio telefónico,DSL,Sí,No,Sí,No,No,Sí,One year,No,Credit card (automatic),45.0,2196.3,1.5,0.0
0235-KGSLC,Sí,Femenino,0,No,No,1,Sí,No,Fiber optic,No,No,Sí,No,Sí,No,Month-to-month,Sí,Credit card (automatic),85.55,85.55,2.85,1.0
0236-HFWSV,Sí,Masculino,0,No,No,15,Sí,Sí,Fiber optic,No,No,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,93.35,1444.65,3.11,1.0
0237-YFUTL,No,Femenino,0,Sí,No,50,Sí,Sí,Fiber optic,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Bank transfer (automatic),109.65,5405.8,3.66,0.0
0238-WHBIQ,No,Masculino,0,Sí,Sí,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Credit card (automatic),89.7,6339.3,2.99,0.0
0239-OXEXL,No,Femenino,0,No,No,46,Sí,Sí,Fiber optic,Sí,Sí,No,No,No,No,Month-to-month,No,Mailed check,84.25,3847.6,2.81,0.0
0244-LGNFY,No,Femenino,0,Sí,Sí,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),92.65,6733.0,3.09,0.0
0247-SLUJI,No,Masculino,0,Sí,Sí,1,Sí,No,Sin internet,,,,,,,Month-to-month,No,Mailed check,19.7,19.7,0.66,0.0
